what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1296927120599
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1296927120642
stopped,bundle,org.jboss.ide.eclipse.as.ssh,2.2.0.v20101206-2100-H28-Beta2,"org.jboss.ide.eclipse.as.ssh",1296927120642
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.2.0.v20101206-2100-H28-Beta2,"org.jboss.ide.eclipse.archives.webtools",1296927120642
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.0.v20101206-2100-H28-Beta2,"org.jboss.ide.eclipse.as.ui.mbeans",1296927120642
stopped,bundle,org.jboss.ide.eclipse.as.ui,2.2.0.v20101206-2100-H28-Beta2,"org.jboss.ide.eclipse.as.ui",1296927120642
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1296927120643
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1296927120662
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1296927120663
stopped,bundle,org.drools.eclipse,5.2.0.v20101205-0054-H12-Beta2,"org.drools.eclipse",1296927120690
stopped,bundle,org.jboss.tools.smooks.ui,1.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.smooks.ui",1296927120690
stopped,bundle,com.googlecode.eclipse.m2e.android,0.2.4,"com.googlecode.eclipse.m2e.android",1296927120691
stopped,bundle,com.android.ide.eclipse.adt,9.0.0.v201101191456-93220,"com.android.ide.eclipse.adt",1296927120691
stopped,bundle,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.launching",1296927120691
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1296927120717
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1296927120830
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.1.v201007142310,"org.eclipse.jpt.eclipselink.core",1296927120903
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1296927120918
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1296927120956
